epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2030.88,1.3591,2.20472,0.72682,1.05707,0.83018,0.74659,0.84245,0.52209,0.80892,0.71521,0.78993,0.36915,1.27486,2.15025,0.68543,1.04462,0.00333262,0.00333262,0.00333262
2,4019.37,1.36548,2.22439,0.66112,1.05782,0.80616,0.73948,0.82423,0.49361,0.77938,0.70525,0.76443,0.32932,1.36122,2.27555,0.74464,1.07581,0.00665275,0.00665275,0.00665275
3,5991.63,1.37631,2.22802,0.67466,1.06615,0.82564,0.75239,0.83876,0.51143,0.80052,0.7198,0.78188,0.35818,1.30494,2.1793,0.72905,1.0491,0.00995969,0.00995969,0.00995969
4,7964.3,1.40175,2.26652,0.76598,1.0689,0.82799,0.76672,0.84849,0.52197,0.80244,0.73267,0.79319,0.364,1.29257,2.15479,0.6775,1.04989,0.0099406,0.0099406,0.0099406
5,9925.41,1.38913,2.24306,0.68486,1.06716,0.83065,0.76994,0.8492,0.52452,0.80444,0.73686,0.79437,0.36749,1.28078,2.13423,0.6634,1.04728,0.0099208,0.0099208,0.0099208
6,11894.6,1.39292,2.26154,0.68511,1.0661,0.83525,0.76675,0.8496,0.5226,0.81254,0.73702,0.7969,0.36464,1.28087,2.1328,0.67633,1.04633,0.009901,0.009901,0.009901
7,13863.4,1.38869,2.22144,0.70396,1.06619,0.83393,0.76243,0.84937,0.52491,0.8137,0.73075,0.79792,0.37232,1.27687,2.14329,0.67328,1.04867,0.0098812,0.0098812,0.0098812
8,15890.6,1.38838,2.26256,0.70172,1.06469,0.82734,0.76951,0.84949,0.51961,0.79544,0.7285,0.78136,0.34928,1.28678,2.1302,0.69067,1.04513,0.0098614,0.0098614,0.0098614
9,17964.2,1.38337,2.23043,0.69846,1.05993,0.82668,0.7477,0.83658,0.50825,0.80387,0.71345,0.77945,0.35074,1.31321,2.18721,0.69577,1.06455,0.0098416,0.0098416,0.0098416
10,21111.1,1.38014,2.24469,0.75597,1.0627,0.83175,0.7412,0.84052,0.51142,0.81012,0.70499,0.78775,0.36743,1.2937,2.20919,0.79673,1.04424,0.0098218,0.0098218,0.0098218
11,23131.8,1.36473,2.20988,0.66923,1.05841,0.82405,0.75554,0.84034,0.51257,0.80175,0.72514,0.78703,0.35421,1.3041,2.17808,0.69696,1.05721,0.009802,0.009802,0.009802
12,25533,1.36724,2.21173,0.67626,1.05947,0.79664,0.72139,0.80915,0.47096,0.77336,0.69345,0.75221,0.3221,1.47874,2.29427,0.86807,1.1292,0.0097822,0.0097822,0.0097822
